Name, kcal, gE, gK, gF

Butter, 729, 0.5, 0.5, 82
Laetta, 370, 0, 4, 39
Mozzarella, 257, 19, 1, 20
Cantadou, 323, 7, 3, 32
Lc1, 105, 3.5, 15.5, 3
Emmi, 130, 4, 16, 5.5
Quark, 65, 12, 2.5, 0.1
LightKaese, 249, 29, 2, 14
Banane, 93, 1, 22, 0
Zucchini, 19, 1.6, 3.3, 0.4
Tomate, 17, 1, 2.6, 0.2
Kartoffel, 86, 2, 19, 0.1
Brot, 282, 11, 53, 1.5
CremeSchnitte, 311, 4.5, 48, 11
Pizza, 227, 13, 31, 5
Schoko, 569, 7, 46, 40
Chips, 517, 7, 51, 32
Spaghetti, 350, 12, 72.2, 1.5
Reis, 358, 5, 83, 0.5
Stocki, 320, 9, 70, 1
